img artist school country nofilter-cs60 nofilter-cs40 nofilter-cs20 nofilter-h60 nofilter-h40 nofilter-h20 nofilter-l60 nofilter-l40 nofilter-l20 nofilter-shsv60 nofilter-shsv40 nofilter-shsv20 nofilter-shsl60 nofilter-shsl40 nofilter-shsl20 nofilter-v60 nofilter-v40 nofilter-v20 sobel-cs60 sobel-cs40 sobel-cs20 sobel-h60 sobel-h40 sobel-h20 sobel-l60 sobel-l40 sobel-l20 sobel-shsv60 sobel-shsv40 sobel-shsv20 sobel-shsl60 sobel-shsl40 sobel-shsl20 sobel-v60 sobel-v40 sobel-v20 canny-cs60 canny-cs40 canny-cs20 canny-h60 canny-h40 canny-h20 canny-l60 canny-l40 canny-l20 canny-shsv60 canny-shsv40 canny-shsv20 canny-shsl60 canny-shsl40 canny-shsl20 canny-v60 canny-v40 canny-v20 glcm-cs-ct1 glcm-cs-ct6 glcm-cs-ct20 glcm-cs-en1 glcm-cs-en6 glcm-cs-en20 glcm-cs-hm1 glcm-cs-hm6 glcm-cs-hm20 glcm-cs-cr1 glcm-cs-cr6 glcm-cs-cr20 glcm-h-ct1 glcm-h-ct6 glcm-h-ct20 glcm-h-en1 glcm-h-en6 glcm-h-en20 glcm-h-hm1 glcm-h-hm6 glcm-h-hm20 glcm-h-cr1 glcm-h-cr6 glcm-h-cr20 glcm-l-ct1 glcm-l-ct6 glcm-l-ct20 glcm-l-en1 glcm-l-en6 glcm-l-en20 glcm-l-hm1 glcm-l-hm6 glcm-l-hm20 glcm-l-cr1 glcm-l-cr6 glcm-l-cr20 glcm-shsl-ct1 glcm-shsl-ct6 glcm-shsl-ct20 glcm-shsl-en1 glcm-shsl-en6 glcm-shsl-en20 glcm-shsl-hm1 glcm-shsl-hm6 glcm-shsl-hm20 glcm-shsl-cr1 glcm-shsl-cr6 glcm-shsl-cr20 glcm-shsv-ct1 glcm-shsv-ct6 glcm-shsv-ct20 glcm-shsv-en1 glcm-shsv-en6 glcm-shsv-en20 glcm-shsv-hm1 glcm-shsv-hm6 glcm-shsv-hm20 glcm-shsv-cr1 glcm-shsv-cr6 glcm-shsv-cr20 glcm-v-ct1 glcm-v-ct6 glcm-v-ct20 glcm-v-en1 glcm-v-en6 glcm-v-en20 glcm-v-hm1 glcm-v-hm6 glcm-v-hm20 glcm-v-cr1 glcm-v-cr6 glcm-v-cr20 it12-r it12-or it12-o it12-oy it12-y it12-gy it12-g it12-gb it12-b it12-pb it12-p it12-pr r3-cs-avg r3-cs-std r3-h-avg r3-h-std r3-l-avg r3-l-std r3-shsl-avg r3-shsl-std r3-shsv-avg r3-shsv-std r3-v-avg r3-v-std itct-sat-sl-r3 itct-sat-sl-r7 itct-sat-sl-sg itct-sat-sv-r3 itct-sat-sv-r7 itct-sat-sv-sg itct-lightdark-l-r3 itct-lightdark-l-r7 itct-lightdark-l-sg itct-lightdark-v-r3 itct-lightdark-v-r7 itct-lightdark-v-sg itct-hue-h-r3 itct-hue-h-r7 itct-hue-h-sg itct-hue-cs-r3 itct-hue-cs-r7 itct-hue-cs-sg itct-warmcold-h-r3 itct-warmcold-h-r7 itct-warmcold-h-sg itct-warmcold-cs-r3 itct-warmcold-cs-r7 itct-warmcold-cs-sg itct-comp-h-r3 itct-comp-h-r7 itct-comp-h-sg itct-comp-cs-r3 itct-comp-cs-r7 itct-comp-cs-sg cs-avg cs-std h-avg h-std l-avg l-std shsl-avg shsl-std shsv-avg shsv-std v-avg v-std
nirp_bassano_1910-56 bassano renaissance italy 14.692 19.949 32.495 5.783 7.455 11.695 7.039 9.281 15.107 3.563 4.559 6.914 4.089 5.233 7.968 6.793 8.887 14.280 12.353 17.859 34.298 6.336 8.148 12.386 7.961 11.086 19.507 3.954 5.244 8.626 4.578 6.120 10.272 7.519 10.375 17.990 4.635 5.709 8.376 4.601 5.602 8.114 2.490 3.016 4.378 1.962 2.333 3.325 1.974 2.348 3.348 2.384 2.886 4.208 8492281 112093427 412478442 18877.058 12785.319 7476.145 119882.623 51289.909 23006.561 1.000038 1.002537 1.000000 613555558 1775821705 2477327696 30351.637 18838.250 12274.003 160320.084 79904.715 43806.978 1.035713 1.000000 1.000000 56691740 452859944 1089615861 7918.374 4893.491 3497.877 61356.533 26051.656 14826.459 1.000828 1.000000 1.000000 585739676 1914397244 2475329469 28245.804 15801.431 9966.463 59192.987 28485.762 16538.439 1.000000 1.434548 1.000000 401991306 1457285688 2081459408 24076.651 13925.089 8783.505 57070.528 26448.794 15346.598 1.000000 1.000000 1.000000 62112374 586518253 1638291394 8940.692 5240.010 3018.218 59635.351 24795.477 12951.513 1.000000 1.000000 1.137271 69800 138959 0 0 0 0 0 0 0 0 0 0 46.641335 38.134403 42.582692 64.593118 55.753738 51.688754 142.811243 74.622968 163.830062 68.321546 79.056336 68.149427 14.328035 22.721777 32.737125 14.406640 23.271497 35.237412 19.243322 26.150502 37.221366 25.777452 34.461103 53.374994 14.956716 0.674277 21.995153 27.468034 42.801842 16.916091 19.622674 6.764121 26.044057 18.299649 44.302802 26.578452 51.002637 130.651273 55 63.363969 127.311865 165 47.324820 35.287943 45.498160 72.414757 58.844586 54.384349 140.241094 71.520457 160.252108 67.721210 82.495570 68.352288
nirp_bassano_1964_286 bassano renaissance italy 20.662 28.378 47.426 6.907 9.160 14.961 6.664 9.015 14.929 3.440 4.439 7.085 3.705 4.818 7.692 6.521 8.783 14.440 10.631 14.900 26.750 7.822 10.482 16.917 7.473 10.227 17.210 4.130 5.568 9.463 4.437 6.030 10.339 7.300 9.975 16.706 7.785 9.509 13.805 3.656 4.452 6.473 3.395 4.105 5.929 1.928 2.298 3.275 1.930 2.297 3.277 3.279 3.969 5.731 4381116 56237347 146812067 22903.196 15438.249 11399.570 142019.945 79562.874 47130.200 1.000000 1.000000 1.000000 267859409 787042324 1170853876 21909.412 14387.265 7848.390 131669.898 66451.419 29011.620 1.000302 1.000000 1.000000 186579775 622303360 1074394426 11746.947 7754.204 6024.736 77361.475 39023.723 24187.688 1.000028 1.003829 1.000000 807841124 1567574916 1909965133 9893.963 5737.044 4249.159 43376.813 18854.300 11282.073 1.000018 1.018558 1.090252 567168076 1316849244 1784876884 8558.572 4978.822 3639.746 40621.735 17128.339 10002.738 1.007440 1.000578 1.000000 191170045 693372868 1245925537 9959.937 6425.796 4800.904 75185.375 36784.674 22001.825 1.000000 1.000000 1.048600 0 0 0 0 0 0 68040 57326 0 0 0 0 16.076473 15.755898 118.262067 48.283871 39.155889 52.950422 92.697414 53.790710 122.074400 54.853997 47.217974 56.100607 14.601263 20.097262 22.957716 17.774448 25.284721 31.736728 18.895134 27.998530 40.037711 22.940143 32.510395 44.116043 30.741084 7.336251 42.134648 19.330234 63.378167 27.261261 14.325195 3.936579 17.697314 15.475111 21.563749 24.650189 105.553077 176.066862 750 44.295974 74.675747 0 20.472087 21.471680 121.157203 56.147019 47.080632 55.927672 92.619558 62.144710 117.519438 63.864179 57.346847 61.134420
nirp_bassano_1977_36 bassano renaissance italy 11.788 16.109 27.093 16.245 23.812 44.381 6.811 9.106 15.213 3.597 4.662 7.244 4.157 5.389 8.451 6.404 8.445 13.795 12.608 18.356 35.415 20.418 30.796 60.579 7.314 10.139 17.889 4.099 5.488 9.180 4.731 6.445 11.001 6.890 9.428 16.354 3.995 4.886 7.109 8.600 10.486 15.067 2.512 3.039 4.403 1.942 2.316 3.299 1.951 2.327 3.326 2.398 2.897 4.213 23520731 169278451 459479402 10611.986 5874.184 3783.872 106227.653 45888.364 18600.600 1.000000 1.000000 1.019639 38073360 73210446 94916495 28746.267 18280.059 13774.883 152073.699 84874.316 50088.459 1.000001 1.000025 1.000000 81491627 383159759 793006471 6635.661 4199.930 3229.836 56525.672 24267.741 13543.979 1.284431 1.000000 1.000000 578943464 1383207535 1622589209 51079.450 35576.654 30140.372 70846.867 43218.319 34903.368 1.000000 1.000000 1.000000 365498523 951547614 1166058756 47153.407 32202.568 27351.267 67707.984 40261.024 32437.782 1.000839 1.000000 1.016966 93618345 562820685 1325368382 6485.023 3906.923 2413.455 52381.718 21538.824 10735.413 1.000000 1.000000 1.000000 0 175244 47325 0 0 0 0 0 0 0 0 0 45.235512 29.410750 27.814296 14.579217 48.935016 43.528746 163.287925 66.860788 186.422174 54.301565 71.524814 55.078791 34.569882 39.141816 40.996792 25.452094 29.981643 31.396876 9.398451 16.023716 28.521376 12.044300 20.879433 41.588422 5.984355 0.040657 7.711760 27.445477 11.050376 27.417811 12.525632 10.465694 18.766375 13.008411 34.544862 27.129618 22.612845 38.909604 0 42.903609 74.735766 21 50.490986 33.567549 27.270037 14.188256 52.437340 43.309614 160.677520 68.326153 183.890498 55.997453 77.644627 56.422055
nirp_bassano_3134 bassano renaissance italy 12.585 16.819 27.538 7.042 9.455 15.837 7.544 10.023 16.594 5.431 7.041 11.040 5.227 6.716 10.454 7.127 9.308 14.983 9.118 12.494 21.703 7.878 10.657 17.307 8.598 12.278 23.647 6.255 8.560 14.768 6.027 8.223 14.278 7.870 11.028 20.257 3.630 4.431 6.498 3.663 4.477 6.566 2.168 2.610 3.791 2.200 2.637 3.784 2.036 2.438 3.495 2.118 2.551 3.704 9554455 119367017 266714611 15774.708 9330.607 6441.652 110595.841 46701.293 25787.172 1.000000 1.000000 1.001300 229306735 529124569 610677341 20074.259 12052.901 9428.704 128608.207 57983.520 35675.840 1.000009 1.000042 1.000546 35226690 263670631 580064089 7180.826 4624.251 3346.135 55452.823 23661.024 14960.242 1.000000 1.000000 1.212356 245539197 749251825 1157588565 10343.783 6371.942 4122.278 59267.588 24435.470 14302.183 1.000000 1.000000 1.020773 224512851 777442383 1277361337 9592.816 5989.194 3756.619 48651.202 19717.929 11384.617 1.000000 1.000161 1.000000 42556696 368450541 816664000 6696.340 4260.892 2951.317 51592.148 20909.732 12634.375 1.012595 1.000000 1.906753 15641 168330 17520 0 0 0 0 0 0 0 0 0 34.256348 25.584881 23.141873 21.776985 57.104923 34.697153 89.246077 56.525497 121.198736 59.415196 74.244910 42.417553 18.537987 25.989019 32.680225 23.089402 32.077436 37.887648 14.520322 23.950046 34.069560 13.955030 25.207140 34.429330 6.285605 0.233820 10.763442 1.878494 26.818598 15.039474 9.555551 0.636183 15.421366 8.437209 27.148279 24.680584 20.154654 44.800295 8 32.852119 69.785009 48 28.590905 25.707324 30.235961 35.840718 69.145182 44.153230 66.202498 54.573420 92.445683 60.468980 83.452984 49.929676
nirp_bassano_393 bassano renaissance italy 10.004 13.635 23.876 4.054 5.268 8.375 6.889 9.116 15.124 3.978 5.100 7.851 4.144 5.324 8.209 6.619 8.681 14.243 7.142 9.897 17.685 4.485 5.868 9.217 6.979 9.596 16.931 4.426 5.855 9.501 4.649 6.220 10.285 6.865 9.442 16.587 2.879 3.499 5.099 2.378 2.872 4.159 2.165 2.614 3.809 2.047 2.454 3.538 1.934 2.310 3.312 2.077 2.501 3.639 15984798 116042118 216396480 12187.193 7924.254 6704.540 80102.812 34059.993 24015.909 1.000331 1.022176 1.000000 655527806 1578653113 1831685238 10388.081 5457.018 4115.531 86592.788 31919.522 18562.022 1.000386 1.075952 1.000000 48559021 419265863 972253858 5263.446 3290.401 2493.042 45694.389 19535.913 11527.939 1.000678 1.000000 1.000000 547378519 1759962851 2519754812 24147.123 14170.711 8619.195 59186.156 28100.510 17559.390 1.000000 1.000000 1.000000 418992875 1401536153 2084588135 19984.642 11986.207 6936.832 49126.529 23336.986 14078.531 1.000000 1.000000 1.000000 56857406 510634582 1205485780 7751.530 4680.348 2775.985 44998.604 20208.408 11831.198 1.000945 1.000000 1.000000 37639 53604 0 0 693 43689 0 0 0 0 0 0 30.166472 26.130658 73.270865 77.070977 99.081337 66.700041 77.402769 75.801576 82.291827 64.046933 114.164469 71.395943 16.028620 26.136814 47.719337 12.895449 22.595443 42.675022 16.949484 26.748861 37.801511 19.928375 31.493405 46.083819 20.411461 3.568494 29.201279 18.307944 51.717854 27.388735 10.749703 0.584225 18.302356 5.355878 26.666997 26.639723 59.964623 139.474952 135 33.202805 97.779559 62 27.645550 25.413658 71.208684 65.369873 70.293407 52.828019 82.795994 76.786143 99.707455 69.654545 84.104938 60.005718
nirp_bassano_a0968 bassano renaissance italy 14.766 20.501 34.780 20.765 29.365 52.322 8.262 10.765 16.795 5.507 7.071 10.734 6.879 8.795 13.429 7.771 10.126 15.876 8.833 12.223 21.748 29.038 43.402 79.090 7.386 9.828 15.942 5.746 7.562 12.079 7.268 9.590 15.472 7.012 9.348 15.345 4.675 5.746 8.415 14.683 17.739 25.198 3.197 3.891 5.654 2.654 3.207 4.625 2.830 3.433 4.979 2.926 3.561 5.199 5739550 74278771 234587317 9298.789 4860.254 3455.845 111275.120 39685.075 19896.269 1.000134 1.018072 1.000000 17172698 73736819 162362051 22795.819 13114.643 9618.389 170813.315 80963.099 46762.600 1.000003 1.000424 1.038460 50331720 521295342 1292209009 8108.357 4451.369 2990.559 88439.291 35081.458 17791.574 1.000226 1.000000 1.000000 242039513 1183764409 2273643173 49828.606 53573.704 12555.609 132445.040 94224.879 71616.387 1.000001 1.000000 1.000000 142299478 893585705 2031604859 26767.822 44313.502 61307.841 131737.878 91228.111 66894.893 1.000000 1.000000 1.112862 53428509 581593310 1502183066 10206.261 5687.212 3459.940 76187.758 28948.603 14557.624 1.000000 1.010920 1.000000 19825 156208 26211 0 0 0 0 0 0 0 0 0 70.220643 22.286123 26.938101 8.183720 113.453395 68.458972 170.764032 76.832749 152.127554 77.438206 148.510096 69.059598 27.843419 42.727638 66.875595 27.580046 45.870991 70.466925 20.147184 38.389762 57.036616 23.820566 43.246755 63.052073 15.951794 4.371581 23.926079 27.404205 31.277256 23.357554 22.972237 2.685083 31.967552 22.161880 42.612898 25.886020 49.321173 133.303691 25 76.958029 135.695481 367 59.530509 32.885162 27.700921 27.332292 83.304901 65.994442 172.745363 83.662753 171.025732 83.027955 112.999276 72.145756
nirp_bassano_a9071 bassano renaissance italy 14.809 20.125 33.337 17.330 24.033 40.164 7.620 10.044 16.186 4.864 6.257 9.612 6.066 7.832 12.308 7.578 9.941 15.856 8.147 11.177 19.280 21.316 29.242 44.950 6.684 9.005 15.132 5.300 7.089 11.769 6.885 9.426 16.346 6.798 9.108 15.192 4.599 5.661 8.274 19.002 22.931 31.998 2.731 3.316 4.820 2.134 2.555 3.667 2.169 2.604 3.761 2.750 3.337 4.859 6807874 87086640 340755812 8731.315 4662.217 3141.524 115258.558 44053.284 19107.956 1.001343 1.000000 1.000000 89415549 277822454 395794565 34498.467 20719.775 15480.217 189724.013 105385.300 66923.785 1.000000 1.000000 1.000000 47461699 402984215 979196773 6063.663 3610.167 2576.069 69870.836 29211.284 15734.115 1.000027 1.002865 1.000000 228966866 981051040 1719336078 52289.838 37548.454 28163.776 80733.746 48157.746 33756.247 1.000000 1.013182 1.000000 123800271 605467900 1200622361 29045.719 21253.595 17725.498 68335.426 35843.024 25373.193 1.000000 1.019407 1.003129 49286954 467584325 1259155159 23840.692 16600.769 10222.481 80550.793 38464.087 21037.692 1.000000 1.000000 1.000000 16846 211009 0 0 0 0 0 0 0 0 0 0 86.450442 28.433477 23.513217 5.030723 132.183835 62.850550 173.528304 63.330182 143.219069 54.711950 175.387816 68.544415 24.513605 38.925785 53.522970 29.487252 41.958038 53.901909 34.458516 47.719782 60.784408 41.648870 56.852478 69.801131 7.660224 21.671233 12.137086 27.448673 21.150178 27.211317 22.914198 7.834927 33.857441 20.138390 48.536146 25.993103 29.692851 64.463630 7 76.188965 144.343198 497 64.538386 37.313885 24.402190 31.881952 96.117577 69.059330 159.587259 72.851761 152.526175 68.315544 128.368295 80.588080
nirp_bassano_b-m-812 bassano renaissance italy 14.030 18.927 30.722 10.119 13.924 24.017 8.617 11.644 19.597 4.153 5.361 8.218 4.689 6.059 9.367 8.016 10.673 17.583 10.897 15.250 27.574 11.677 16.251 28.056 9.564 13.573 24.308 4.663 6.226 10.321 5.241 7.058 11.940 8.682 12.196 21.447 4.570 5.599 8.137 4.926 6.039 8.775 3.455 4.194 6.081 2.062 2.462 3.526 2.008 2.403 3.450 3.032 3.677 5.355 12709499 155356393 418036926 15853.315 9658.142 6093.773 117789.419 56490.958 26834.565 1.000000 1.000000 1.000000 112709482 291538506 417189554 21072.852 12728.880 8916.488 133868.992 69199.478 37364.920 1.000001 1.000013 1.000432 61177181 338500568 677433339 9732.858 6023.139 4589.680 81917.945 36556.192 22704.729 1.000224 1.001430 1.000000 481677375 1390935839 2043248284 41511.205 27026.321 22461.251 79029.996 42271.626 29689.972 1.000000 1.003214 -2.344484 298193311 1045142606 1661296928 39210.517 25661.624 21459.398 73682.902 39196.230 28018.552 1.000000 1.002571 1.000000 65826505 452386639 1027286390 8128.357 4661.912 3163.297 74279.869 30586.194 16961.228 1.000000 1.000000 1.000642 10393 154411 35987 0 0 0 0 0 0 0 0 0 44.940546 36.000730 28.264316 23.898934 55.262875 54.264053 158.894868 84.579754 174.280012 80.922708 77.693758 61.381871 47.080210 55.563159 62.582277 45.936213 53.589157 59.053901 20.087644 25.956807 32.785842 22.806395 30.674935 41.424340 12.485538 0.874587 15.014912 3.943909 27.618951 27.438847 14.896643 0.982019 23.202580 11.502627 31.362656 25.939646 42.791743 73.772342 33 45.091013 103.218249 26 33.700461 33.486306 30.403601 29.717399 47.054076 45.125662 130.368728 85.488682 150.558804 80.712731 63.880511 54.358295
nirp_bassano_brm_bifa_78_1 bassano renaissance italy 10.674 14.249 23.438 6.521 8.512 13.536 7.014 9.081 14.258 4.495 5.797 8.966 5.180 6.682 10.340 6.774 8.739 13.598 10.184 14.308 26.037 7.276 9.413 14.524 6.188 8.237 13.544 4.959 6.622 10.927 5.733 7.738 13.078 6.455 8.596 14.260 3.091 3.778 5.545 4.650 5.667 8.215 2.407 2.923 4.270 2.144 2.572 3.709 2.161 2.594 3.738 2.351 2.853 4.174 15303456 158789594 332787743 9246.798 4974.199 3780.006 91661.136 32893.070 17461.430 1.000000 1.000000 1.000021 478685366 1266354586 1676424840 21565.916 13689.049 10576.312 142312.430 73749.724 48304.704 1.008004 1.000000 1.000000 61457104 566863360 1224194402 4934.433 2808.758 2035.871 60903.242 22774.247 11407.078 1.000001 1.000138 1.000000 351554225 1214337349 1941672892 39847.333 28590.892 21426.013 73846.299 40928.604 27979.597 1.000000 1.002406 1.147462 224885386 892860418 1522711983 31345.615 22803.353 18075.070 71174.872 37252.894 25479.405 1.000000 1.000113 1.000000 68407645 674780059 1452512917 10135.964 6868.735 4015.046 59910.229 24367.648 12488.169 1.000000 1.000002 1.001518 33880 146949 8724 0 0 0 0 0 0 0 0 0 54.352505 23.184790 24.162098 15.604694 95.823658 56.516729 117.671973 62.400134 135.996619 63.316257 123.006823 57.692248 39.939465 47.743083 60.707828 45.905281 52.690461 63.703479 32.765281 44.677105 58.582921 31.378591 44.786586 60.941023 15.731316 5.181563 29.752770 16.246112 49.500792 27.476329 10.067175 0.917712 18.458866 10.011802 31.898581 27.283149 53.041594 129.445259 310 31.383320 98.128055 111 42.102476 30.019702 45.828573 62.791629 92.141215 70.102861 122.112051 79.408635 128.220784 78.784337 113.184716 73.150519
nirp_bassano_eastg_1675 bassano renaissance italy 15.042 20.271 32.617 8.187 10.921 17.940 10.432 14.067 23.781 3.219 4.111 6.300 3.552 4.551 6.966 9.569 12.785 21.185 14.864 20.854 35.468 8.773 11.636 18.854 11.419 15.624 26.309 3.579 4.653 7.468 3.929 5.161 8.412 10.727 14.622 24.272 6.890 8.333 11.982 4.120 5.019 7.248 5.752 6.956 9.933 2.014 2.407 3.440 2.004 2.394 3.417 5.284 6.398 9.205 37366882 229037394 508576639 37494.397 61365.097 47930.211 173023.584 128553.259 90827.897 1.000000 1.000000 1.000000 225600115 588744075 674514064 75128.503 61899.444 48262.341 173720.738 123012.917 84235.396 1.000000 1.000000 1.000035 74468166 319304067 499191140 46912.069 31714.612 23903.538 144044.161 85712.003 61587.913 1.000000 1.000000 1.000000 836796597 2129493171 2587037711 61153.228 37836.228 29352.991 132633.293 71191.139 46050.374 1.000000 1.047203 1.000000 612259088 1593539761 1900346244 57048.580 33733.633 25544.302 127562.064 65621.395 41097.584 1.000029 1.010423 1.000000 92759547 534319422 998784005 45632.012 30438.522 22017.792 141625.229 82706.882 56433.906 1.000000 1.000004 1.000032 2749 36952 149087 0 0 0 0 0 0 0 0 0 24.398836 36.130900 39.048159 41.634176 20.897350 30.146081 157.091517 72.781523 182.852882 59.230705 32.969814 46.621515 18.670208 27.426509 34.881460 13.550553 18.198075 24.705336 9.920663 20.196369 18.346735 15.344301 29.732347 35.555912 5.934230 0.239389 8.656111 27.371964 16.451034 27.406158 15.528582 0.571007 27.449987 27.248486 22.473900 10.961878 19.025576 47.644041 0 45.129588 137.550846 12 20.731281 36.012717 42.454717 34.202162 21.053855 37.514780 148.191939 73.988784 172.817080 61.608278 31.306704 52.947970
