img glcm-cs-ct1 glcm-cs-ct6 glcm-cs-ct20 glcm-cs-en1 glcm-cs-en6 glcm-cs-en20 glcm-cs-hm1 glcm-cs-hm6 glcm-cs-hm20 glcm-cs-cr1 glcm-cs-cr6 glcm-cs-cr20 glcm-h-ct1 glcm-h-ct6 glcm-h-ct20 glcm-h-en1 glcm-h-en6 glcm-h-en20 glcm-h-hm1 glcm-h-hm6 glcm-h-hm20 glcm-h-cr1 glcm-h-cr6 glcm-h-cr20 glcm-l-ct1 glcm-l-ct6 glcm-l-ct20 glcm-l-en1 glcm-l-en6 glcm-l-en20 glcm-l-hm1 glcm-l-hm6 glcm-l-hm20 glcm-l-cr1 glcm-l-cr6 glcm-l-cr20 glcm-shsl-ct1 glcm-shsl-ct6 glcm-shsl-ct20 glcm-shsl-en1 glcm-shsl-en6 glcm-shsl-en20 glcm-shsl-hm1 glcm-shsl-hm6 glcm-shsl-hm20 glcm-shsl-cr1 glcm-shsl-cr6 glcm-shsl-cr20 glcm-shsv-ct1 glcm-shsv-ct6 glcm-shsv-ct20 glcm-shsv-en1 glcm-shsv-en6 glcm-shsv-en20 glcm-shsv-hm1 glcm-shsv-hm6 glcm-shsv-hm20 glcm-shsv-cr1 glcm-shsv-cr6 glcm-shsv-cr20 glcm-v-ct1 glcm-v-ct6 glcm-v-ct20 glcm-v-en1 glcm-v-en6 glcm-v-en20 glcm-v-hm1 glcm-v-hm6 glcm-v-hm20 glcm-v-cr1 glcm-v-cr6 glcm-v-cr20
nirp_bassano_1910-56 8492281 112093427 412478442 18877.058 12785.319 7476.145 119882.623 51289.909 23006.561 1.000038 1.002537 1.000000 613555558 1775821705 2477327696 30351.637 18838.250 12274.003 160320.084 79904.715 43806.978 1.035713 1.000000 1.000000 56691740 452859944 1089615861 7918.374 4893.491 3497.877 61356.533 26051.656 14826.459 1.000828 1.000000 1.000000 585739676 1914397244 2475329469 28245.804 15801.431 9966.463 59192.987 28485.762 16538.439 1.000000 1.434548 1.000000 401991306 1457285688 2081459408 24076.651 13925.089 8783.505 57070.528 26448.794 15346.598 1.000000 1.000000 1.000000 62112374 586518253 1638291394 8940.692 5240.010 3018.218 59635.351 24795.477 12951.513 1.000000 1.000000 1.137271
nirp_bassano_1964_286 4381116 56237347 146812067 22903.196 15438.249 11399.570 142019.945 79562.874 47130.200 1.000000 1.000000 1.000000 267859409 787042324 1170853876 21909.412 14387.265 7848.390 131669.898 66451.419 29011.620 1.000302 1.000000 1.000000 186579775 622303360 1074394426 11746.947 7754.204 6024.736 77361.475 39023.723 24187.688 1.000028 1.003829 1.000000 807841124 1567574916 1909965133 9893.963 5737.044 4249.159 43376.813 18854.300 11282.073 1.000018 1.018558 1.090252 567168076 1316849244 1784876884 8558.572 4978.822 3639.746 40621.735 17128.339 10002.738 1.007440 1.000578 1.000000 191170045 693372868 1245925537 9959.937 6425.796 4800.904 75185.375 36784.674 22001.825 1.000000 1.000000 1.048600
nirp_bassano_1977_36 23520731 169278451 459479402 10611.986 5874.184 3783.872 106227.653 45888.364 18600.600 1.000000 1.000000 1.019639 38073360 73210446 94916495 28746.267 18280.059 13774.883 152073.699 84874.316 50088.459 1.000001 1.000025 1.000000 81491627 383159759 793006471 6635.661 4199.930 3229.836 56525.672 24267.741 13543.979 1.284431 1.000000 1.000000 578943464 1383207535 1622589209 51079.450 35576.654 30140.372 70846.867 43218.319 34903.368 1.000000 1.000000 1.000000 365498523 951547614 1166058756 47153.407 32202.568 27351.267 67707.984 40261.024 32437.782 1.000839 1.000000 1.016966 93618345 562820685 1325368382 6485.023 3906.923 2413.455 52381.718 21538.824 10735.413 1.000000 1.000000 1.000000
nirp_bassano_3134 9554455 119367017 266714611 15774.708 9330.607 6441.652 110595.841 46701.293 25787.172 1.000000 1.000000 1.001300 229306735 529124569 610677341 20074.259 12052.901 9428.704 128608.207 57983.520 35675.840 1.000009 1.000042 1.000546 35226690 263670631 580064089 7180.826 4624.251 3346.135 55452.823 23661.024 14960.242 1.000000 1.000000 1.212356 245539197 749251825 1157588565 10343.783 6371.942 4122.278 59267.588 24435.470 14302.183 1.000000 1.000000 1.020773 224512851 777442383 1277361337 9592.816 5989.194 3756.619 48651.202 19717.929 11384.617 1.000000 1.000161 1.000000 42556696 368450541 816664000 6696.340 4260.892 2951.317 51592.148 20909.732 12634.375 1.012595 1.000000 1.906753
nirp_bassano_393 15984798 116042118 216396480 12187.193 7924.254 6704.540 80102.812 34059.993 24015.909 1.000331 1.022176 1.000000 655527806 1578653113 1831685238 10388.081 5457.018 4115.531 86592.788 31919.522 18562.022 1.000386 1.075952 1.000000 48559021 419265863 972253858 5263.446 3290.401 2493.042 45694.389 19535.913 11527.939 1.000678 1.000000 1.000000 547378519 1759962851 2519754812 24147.123 14170.711 8619.195 59186.156 28100.510 17559.390 1.000000 1.000000 1.000000 418992875 1401536153 2084588135 19984.642 11986.207 6936.832 49126.529 23336.986 14078.531 1.000000 1.000000 1.000000 56857406 510634582 1205485780 7751.530 4680.348 2775.985 44998.604 20208.408 11831.198 1.000945 1.000000 1.000000
nirp_bassano_a0968 5739550 74278771 234587317 9298.789 4860.254 3455.845 111275.120 39685.075 19896.269 1.000134 1.018072 1.000000 17172698 73736819 162362051 22795.819 13114.643 9618.389 170813.315 80963.099 46762.600 1.000003 1.000424 1.038460 50331720 521295342 1292209009 8108.357 4451.369 2990.559 88439.291 35081.458 17791.574 1.000226 1.000000 1.000000 242039513 1183764409 2273643173 49828.606 53573.704 12555.609 132445.040 94224.879 71616.387 1.000001 1.000000 1.000000 142299478 893585705 2031604859 26767.822 44313.502 61307.841 131737.878 91228.111 66894.893 1.000000 1.000000 1.112862 53428509 581593310 1502183066 10206.261 5687.212 3459.940 76187.758 28948.603 14557.624 1.000000 1.010920 1.000000
nirp_bassano_a9071 6807874 87086640 340755812 8731.315 4662.217 3141.524 115258.558 44053.284 19107.956 1.001343 1.000000 1.000000 89415549 277822454 395794565 34498.467 20719.775 15480.217 189724.013 105385.300 66923.785 1.000000 1.000000 1.000000 47461699 402984215 979196773 6063.663 3610.167 2576.069 69870.836 29211.284 15734.115 1.000027 1.002865 1.000000 228966866 981051040 1719336078 52289.838 37548.454 28163.776 80733.746 48157.746 33756.247 1.000000 1.013182 1.000000 123800271 605467900 1200622361 29045.719 21253.595 17725.498 68335.426 35843.024 25373.193 1.000000 1.019407 1.003129 49286954 467584325 1259155159 23840.692 16600.769 10222.481 80550.793 38464.087 21037.692 1.000000 1.000000 1.000000
nirp_bassano_b-m-812 12709499 155356393 418036926 15853.315 9658.142 6093.773 117789.419 56490.958 26834.565 1.000000 1.000000 1.000000 112709482 291538506 417189554 21072.852 12728.880 8916.488 133868.992 69199.478 37364.920 1.000001 1.000013 1.000432 61177181 338500568 677433339 9732.858 6023.139 4589.680 81917.945 36556.192 22704.729 1.000224 1.001430 1.000000 481677375 1390935839 2043248284 41511.205 27026.321 22461.251 79029.996 42271.626 29689.972 1.000000 1.003214 -2.344484 298193311 1045142606 1661296928 39210.517 25661.624 21459.398 73682.902 39196.230 28018.552 1.000000 1.002571 1.000000 65826505 452386639 1027286390 8128.357 4661.912 3163.297 74279.869 30586.194 16961.228 1.000000 1.000000 1.000642
nirp_bassano_brm_bifa_78_1 15303456 158789594 332787743 9246.798 4974.199 3780.006 91661.136 32893.070 17461.430 1.000000 1.000000 1.000021 478685366 1266354586 1676424840 21565.916 13689.049 10576.312 142312.430 73749.724 48304.704 1.008004 1.000000 1.000000 61457104 566863360 1224194402 4934.433 2808.758 2035.871 60903.242 22774.247 11407.078 1.000001 1.000138 1.000000 351554225 1214337349 1941672892 39847.333 28590.892 21426.013 73846.299 40928.604 27979.597 1.000000 1.002406 1.147462 224885386 892860418 1522711983 31345.615 22803.353 18075.070 71174.872 37252.894 25479.405 1.000000 1.000113 1.000000 68407645 674780059 1452512917 10135.964 6868.735 4015.046 59910.229 24367.648 12488.169 1.000000 1.000002 1.001518
nirp_bassano_eastg_1675 37366882 229037394 508576639 37494.397 61365.097 47930.211 173023.584 128553.259 90827.897 1.000000 1.000000 1.000000 225600115 588744075 674514064 75128.503 61899.444 48262.341 173720.738 123012.917 84235.396 1.000000 1.000000 1.000035 74468166 319304067 499191140 46912.069 31714.612 23903.538 144044.161 85712.003 61587.913 1.000000 1.000000 1.000000 836796597 2129493171 2587037711 61153.228 37836.228 29352.991 132633.293 71191.139 46050.374 1.000000 1.047203 1.000000 612259088 1593539761 1900346244 57048.580 33733.633 25544.302 127562.064 65621.395 41097.584 1.000029 1.010423 1.000000 92759547 534319422 998784005 45632.012 30438.522 22017.792 141625.229 82706.882 56433.906 1.000000 1.000004 1.000032
