img cs-avg cs-std h-avg h-std l-avg l-std shsl-avg shsl-std shsv-avg shsv-std v-avg v-std
nirp_bassano_1910-56 47.324820 35.287943 45.498160 72.414757 58.844586 54.384349 140.241094 71.520457 160.252108 67.721210 82.495570 68.352288
nirp_bassano_1964_286 20.472087 21.471680 121.157203 56.147019 47.080632 55.927672 92.619558 62.144710 117.519438 63.864179 57.346847 61.134420
nirp_bassano_1977_36 50.490986 33.567549 27.270037 14.188256 52.437340 43.309614 160.677520 68.326153 183.890498 55.997453 77.644627 56.422055
nirp_bassano_3134 28.590905 25.707324 30.235961 35.840718 69.145182 44.153230 66.202498 54.573420 92.445683 60.468980 83.452984 49.929676
nirp_bassano_393 27.645550 25.413658 71.208684 65.369873 70.293407 52.828019 82.795994 76.786143 99.707455 69.654545 84.104938 60.005718
nirp_bassano_a0968 59.530509 32.885162 27.700921 27.332292 83.304901 65.994442 172.745363 83.662753 171.025732 83.027955 112.999276 72.145756
nirp_bassano_a9071 64.538386 37.313885 24.402190 31.881952 96.117577 69.059330 159.587259 72.851761 152.526175 68.315544 128.368295 80.588080
nirp_bassano_b-m-812 33.700461 33.486306 30.403601 29.717399 47.054076 45.125662 130.368728 85.488682 150.558804 80.712731 63.880511 54.358295
nirp_bassano_brm_bifa_78_1 42.102476 30.019702 45.828573 62.791629 92.141215 70.102861 122.112051 79.408635 128.220784 78.784337 113.184716 73.150519
nirp_bassano_eastg_1675 20.731281 36.012717 42.454717 34.202162 21.053855 37.514780 148.191939 73.988784 172.817080 61.608278 31.306704 52.947970
nirp_bassano_hhtp_2001_2_43 146.338637 63.321939 9.744230 8.227388 75.905090 35.219082 254.018945 7.566369 252.411582 13.095086 148.803084 65.708906
nirp_bassano_l_f34_1939_0_0 56.967574 36.889410 24.080633 9.474928 42.714956 41.268416 217.461287 56.452885 224.755827 49.250651 71.077722 55.995050
nirp_bassano_souag_b64 88.899777 48.295513 20.781490 12.092532 66.516525 41.688970 209.686313 71.545223 215.792389 62.036979 110.827368 55.747000
nirp_bassano_va_pc_2006bh7729 39.256408 36.464309 49.830980 16.190840 34.494487 36.874764 187.924261 70.471357 205.378960 55.359344 54.036986 52.421021
nirp_bassano_va_pc_2007bm3158 60.944261 37.054852 22.654662 8.949507 56.682276 41.665890 177.320117 69.148859 195.413666 55.107105 87.090239 56.175181
nirp_bassano_va_pc_2007bp0700 90.319772 46.069681 25.043850 10.468487 62.814261 43.553829 219.669934 55.276396 224.621715 48.786169 107.847611 62.364704
