img itct-sat-sl-r3 itct-sat-sl-r7 itct-sat-sl-sg itct-sat-sv-r3 itct-sat-sv-r7 itct-sat-sv-sg itct-lightdark-l-r3 itct-lightdark-l-r7 itct-lightdark-l-sg itct-lightdark-v-r3 itct-lightdark-v-r7 itct-lightdark-v-sg itct-hue-h-r3 itct-hue-h-r7 itct-hue-h-sg itct-hue-cs-r3 itct-hue-cs-r7 itct-hue-cs-sg itct-warmcold-h-r3 itct-warmcold-h-r7 itct-warmcold-h-sg itct-warmcold-cs-r3 itct-warmcold-cs-r7 itct-warmcold-cs-sg itct-comp-h-r3 itct-comp-h-r7 itct-comp-h-sg itct-comp-cs-r3 itct-comp-cs-r7 itct-comp-cs-sg
nirp_bassano_1910-56 14.328035 22.721777 32.737125 14.406640 23.271497 35.237412 19.243322 26.150502 37.221366 25.777452 34.461103 53.374994 14.956716 0.674277 21.995153 27.468034 42.801842 16.916091 19.622674 6.764121 26.044057 18.299649 44.302802 26.578452 51.002637 130.651273 55 63.363969 127.311865 165
nirp_bassano_1964_286 14.601263 20.097262 22.957716 17.774448 25.284721 31.736728 18.895134 27.998530 40.037711 22.940143 32.510395 44.116043 30.741084 7.336251 42.134648 19.330234 63.378167 27.261261 14.325195 3.936579 17.697314 15.475111 21.563749 24.650189 105.553077 176.066862 750 44.295974 74.675747 0
nirp_bassano_1977_36 34.569882 39.141816 40.996792 25.452094 29.981643 31.396876 9.398451 16.023716 28.521376 12.044300 20.879433 41.588422 5.984355 0.040657 7.711760 27.445477 11.050376 27.417811 12.525632 10.465694 18.766375 13.008411 34.544862 27.129618 22.612845 38.909604 0 42.903609 74.735766 21
nirp_bassano_3134 18.537987 25.989019 32.680225 23.089402 32.077436 37.887648 14.520322 23.950046 34.069560 13.955030 25.207140 34.429330 6.285605 0.233820 10.763442 1.878494 26.818598 15.039474 9.555551 0.636183 15.421366 8.437209 27.148279 24.680584 20.154654 44.800295 8 32.852119 69.785009 48
nirp_bassano_393 16.028620 26.136814 47.719337 12.895449 22.595443 42.675022 16.949484 26.748861 37.801511 19.928375 31.493405 46.083819 20.411461 3.568494 29.201279 18.307944 51.717854 27.388735 10.749703 0.584225 18.302356 5.355878 26.666997 26.639723 59.964623 139.474952 135 33.202805 97.779559 62
nirp_bassano_a0968 27.843419 42.727638 66.875595 27.580046 45.870991 70.466925 20.147184 38.389762 57.036616 23.820566 43.246755 63.052073 15.951794 4.371581 23.926079 27.404205 31.277256 23.357554 22.972237 2.685083 31.967552 22.161880 42.612898 25.886020 49.321173 133.303691 25 76.958029 135.695481 367
nirp_bassano_a9071 24.513605 38.925785 53.522970 29.487252 41.958038 53.901909 34.458516 47.719782 60.784408 41.648870 56.852478 69.801131 7.660224 21.671233 12.137086 27.448673 21.150178 27.211317 22.914198 7.834927 33.857441 20.138390 48.536146 25.993103 29.692851 64.463630 7 76.188965 144.343198 497
nirp_bassano_b-m-812 47.080210 55.563159 62.582277 45.936213 53.589157 59.053901 20.087644 25.956807 32.785842 22.806395 30.674935 41.424340 12.485538 0.874587 15.014912 3.943909 27.618951 27.438847 14.896643 0.982019 23.202580 11.502627 31.362656 25.939646 42.791743 73.772342 33 45.091013 103.218249 26
nirp_bassano_brm_bifa_78_1 39.939465 47.743083 60.707828 45.905281 52.690461 63.703479 32.765281 44.677105 58.582921 31.378591 44.786586 60.941023 15.731316 5.181563 29.752770 16.246112 49.500792 27.476329 10.067175 0.917712 18.458866 10.011802 31.898581 27.283149 53.041594 129.445259 310 31.383320 98.128055 111
nirp_bassano_eastg_1675 18.670208 27.426509 34.881460 13.550553 18.198075 24.705336 9.920663 20.196369 18.346735 15.344301 29.732347 35.555912 5.934230 0.239389 8.656111 27.371964 16.451034 27.406158 15.528582 0.571007 27.449987 27.248486 22.473900 10.961878 19.025576 47.644041 0 45.129588 137.550846 12
nirp_bassano_hhtp_2001_2_43 1.347862 3.175245 0.281065 2.350475 6.770315 2.977941 16.272172 26.165291 32.673436 31.814751 49.674376 60.243877 6.105160 3.948253 7.756332 26.754962 4.902972 11.287449 17.859018 8.095164 34.189918 24.207453 49.996353 25.732842 17.384616 29.267960 0 53.475193 149.797770 595
nirp_bassano_l_f34_1939_0_0 15.881212 23.089633 26.658901 15.152859 23.327889 22.867081 12.335717 24.177633 31.201787 16.396997 34.021533 46.379915 3.163715 22.621441 4.906430 27.310769 6.043796 22.837574 13.867454 2.823096 31.789554 21.008339 44.908857 26.130719 9.875549 23.657895 0 51.857605 177.310691 302
nirp_bassano_souag_b64 56.519783 62.799035 65.719661 46.918334 52.212745 55.553437 23.446890 29.404604 38.037351 29.655646 39.722968 51.750110 13.370581 24.730451 15.083255 23.189620 3.252954 15.209361 41.938880 11.991203 53.985926 18.982672 63.872169 26.635226 41.674231 60.001743 0 150.991985 179.092466 748
nirp_bassano_va_pc_2006bh7729 36.434570 49.432420 53.993772 28.120699 37.406699 39.044802 14.788765 22.482354 29.153005 20.637625 33.605558 43.435173 6.070499 25.286030 11.761595 27.344395 17.587909 27.244857 17.351338 1.162693 33.182516 25.955119 42.132505 26.936714 18.640968 61.669183 0 58.117055 157.290713 114
nirp_bassano_va_pc_2007bm3158 47.721135 53.071077 56.082531 37.728275 42.732149 42.510294 16.716121 24.704620 33.015255 19.256466 31.602962 48.226646 6.412479 16.576406 6.833122 25.295065 5.603424 19.331560 14.108185 3.006775 26.224259 16.025482 42.397854 26.066604 22.582963 40.007766 0 50.161240 108.696388 352
nirp_bassano_va_pc_2007bp0700 11.035611 22.285975 32.519592 9.532880 19.661889 24.034243 14.390916 21.705913 31.916355 22.832307 32.935865 48.019181 4.889467 27.448838 7.139227 27.476780 7.417580 25.062907 25.924473 6.886519 35.388340 10.664614 52.935021 26.197812 14.505932 34.379605 0 79.158131 176.855382 1070
nirp_bassano_wm_1544_1948 48.185443 58.843626 68.014098 57.728638 70.027163 78.551210 35.952782 52.710637 61.293425 33.122952 52.741017 63.564561 50.624644 3.709359 88.000747 11.534246 104.739404 27.231513 30.389665 17.208036 41.730933 26.497852 52.575423 26.147050 135.528604 179.911228 122 86.275368 133.749630 159
nirp_berchem_1266 36.560991 49.822338 63.625648 29.331573 32.186674 36.351891 62.871687 68.626105 74.953781 62.569334 68.805504 75.815046 36.040250 17.744975 44.416521 19.787199 57.065620 27.325137 6.675227 3.812733 12.583307 10.260822 17.897339 26.604932 102.440231 150.701147 149 22.124495 59.364283 0
nirp_berchem_1923-16 38.904995 44.031806 51.592590 62.196293 67.968957 75.292285 78.751506 83.137605 86.056117 86.890759 92.243883 96.004221 10.202251 27.483309 12.007442 27.426152 17.514742 4.183072 32.774553 13.576615 41.780921 26.404710 47.256115 26.262480 27.133546 42.067379 12 117.154583 165.743024 344
nirp_berchem_1932p117 33.171242 45.903119 53.689352 41.133340 54.759183 59.054155 41.068590 54.318305 59.777079 47.521279 60.686888 65.995461 17.380029 17.218506 27.840753 27.457891 35.617019 27.470447 28.267502 3.103842 34.976658 20.922998 42.524490 25.707023 55.596309 164.414956 32 91.531658 134.989371 480
nirp_berchem_1974_433 21.176783 42.855169 52.638597 28.053597 51.365242 66.176357 51.547525 74.140213 93.724512 52.747362 72.023877 89.438173 42.338936 19.690221 58.145844 27.496095 67.149330 27.306324 22.956762 3.734344 32.849413 27.493415 45.441181 27.281402 126.932843 179.090183 3 84.336073 125.205688 539
