img it12-r it12-or it12-o it12-oy it12-y it12-gy it12-g it12-gb it12-b it12-pb it12-p it12-pr
nirp_bassano_1910-56 69800 138959 0 0 0 0 0 0 0 0 0 0
nirp_bassano_1964_286 0 0 0 0 0 0 68040 57326 0 0 0 0
nirp_bassano_1977_36 0 175244 47325 0 0 0 0 0 0 0 0 0
nirp_bassano_3134 15641 168330 17520 0 0 0 0 0 0 0 0 0
nirp_bassano_393 37639 53604 0 0 693 43689 0 0 0 0 0 0
nirp_bassano_a0968 19825 156208 26211 0 0 0 0 0 0 0 0 0
nirp_bassano_a9071 16846 211009 0 0 0 0 0 0 0 0 0 0
nirp_bassano_b-m-812 10393 154411 35987 0 0 0 0 0 0 0 0 0
nirp_bassano_brm_bifa_78_1 33880 146949 8724 0 0 0 0 0 0 0 0 0
nirp_bassano_eastg_1675 2749 36952 149087 0 0 0 0 0 0 0 0 0
nirp_bassano_hhtp_2001_2_43 57148 31230 15207 16981 0 2399 0 0 0 0 0 0
nirp_bassano_l_f34_1939_0_0 0 229115 0 0 0 0 0 0 0 0 0 0
nirp_bassano_souag_b64 0 14804 35253 0 22001 36138 0 0 0 0 0 0
nirp_bassano_va_pc_2006bh7729 0 33373 150444 14102 0 0 0 0 0 0 0 0
nirp_bassano_va_pc_2007bm3158 0 0 0 111644 71420 0 0 0 0 0 0 0
nirp_bassano_va_pc_2007bp0700 0 221592 4357 0 0 0 0 0 0 0 0 0
nirp_bassano_wm_1544_1948 113667 48209 0 0 0 0 0 0 0 0 0 32422
nirp_berchem_1266 6401 53216 32794 4088 0 2885 21316 0 0 0 0 0
nirp_berchem_1923-16 61037 128884 25786 0 0 0 0 0 0 0 0 0
nirp_berchem_1932p117 0 189516 27534 0 0 0 0 0 0 0 0 0
nirp_berchem_1974_433 67069 0 8275 0 0 5325 65542 0 0 0 0 0
nirp_berchem_1985_645 148875 97497 0 0 0 0 0 0 0 0 0 0
nirp_berchem_210_1892 0 88996 116918 0 0 0 0 0 0 0 0 0
nirp_berchem_566 0 0 180176 2694 0 0 0 0 0 0 0 0
nirp_berchem_a1085 0 105853 83916 0 0 0 0 0 0 0 0 0
nirp_berchem_a1907 9389 193347 8538 0 0 0 0 0 0 0 0 0
nirp_berchem_a1908 0 0 0 0 0 0 9894 145946 0 0 0 0
nirp_berchem_a1909 0 237591 0 0 0 0 0 0 0 0 0 0
