img nofilter-cs60 nofilter-cs40 nofilter-cs20 nofilter-h60 nofilter-h40 nofilter-h20 nofilter-l60 nofilter-l40 nofilter-l20 nofilter-shsv60 nofilter-shsv40 nofilter-shsv20 nofilter-shsl60 nofilter-shsl40 nofilter-shsl20 nofilter-v60 nofilter-v40 nofilter-v20 sobel-cs60 sobel-cs40 sobel-cs20 sobel-h60 sobel-h40 sobel-h20 sobel-l60 sobel-l40 sobel-l20 sobel-shsv60 sobel-shsv40 sobel-shsv20 sobel-shsl60 sobel-shsl40 sobel-shsl20 sobel-v60 sobel-v40 sobel-v20 canny-cs60 canny-cs40 canny-cs20 canny-h60 canny-h40 canny-h20 canny-l60 canny-l40 canny-l20 canny-shsv60 canny-shsv40 canny-shsv20 canny-shsl60 canny-shsl40 canny-shsl20 canny-v60 canny-v40 canny-v20
nirp_bassano_1910-56 14.692 19.949 32.495 5.783 7.455 11.695 7.039 9.281 15.107 3.563 4.559 6.914 4.089 5.233 7.968 6.793 8.887 14.280 12.353 17.859 34.298 6.336 8.148 12.386 7.961 11.086 19.507 3.954 5.244 8.626 4.578 6.120 10.272 7.519 10.375 17.990 4.635 5.709 8.376 4.601 5.602 8.114 2.490 3.016 4.378 1.962 2.333 3.325 1.974 2.348 3.348 2.384 2.886 4.208
nirp_bassano_1964_286 20.662 28.378 47.426 6.907 9.160 14.961 6.664 9.015 14.929 3.440 4.439 7.085 3.705 4.818 7.692 6.521 8.783 14.440 10.631 14.900 26.750 7.822 10.482 16.917 7.473 10.227 17.210 4.130 5.568 9.463 4.437 6.030 10.339 7.300 9.975 16.706 7.785 9.509 13.805 3.656 4.452 6.473 3.395 4.105 5.929 1.928 2.298 3.275 1.930 2.297 3.277 3.279 3.969 5.731
nirp_bassano_1977_36 11.788 16.109 27.093 16.245 23.812 44.381 6.811 9.106 15.213 3.597 4.662 7.244 4.157 5.389 8.451 6.404 8.445 13.795 12.608 18.356 35.415 20.418 30.796 60.579 7.314 10.139 17.889 4.099 5.488 9.180 4.731 6.445 11.001 6.890 9.428 16.354 3.995 4.886 7.109 8.600 10.486 15.067 2.512 3.039 4.403 1.942 2.316 3.299 1.951 2.327 3.326 2.398 2.897 4.213
nirp_bassano_3134 12.585 16.819 27.538 7.042 9.455 15.837 7.544 10.023 16.594 5.431 7.041 11.040 5.227 6.716 10.454 7.127 9.308 14.983 9.118 12.494 21.703 7.878 10.657 17.307 8.598 12.278 23.647 6.255 8.560 14.768 6.027 8.223 14.278 7.870 11.028 20.257 3.630 4.431 6.498 3.663 4.477 6.566 2.168 2.610 3.791 2.200 2.637 3.784 2.036 2.438 3.495 2.118 2.551 3.704
nirp_bassano_393 10.004 13.635 23.876 4.054 5.268 8.375 6.889 9.116 15.124 3.978 5.100 7.851 4.144 5.324 8.209 6.619 8.681 14.243 7.142 9.897 17.685 4.485 5.868 9.217 6.979 9.596 16.931 4.426 5.855 9.501 4.649 6.220 10.285 6.865 9.442 16.587 2.879 3.499 5.099 2.378 2.872 4.159 2.165 2.614 3.809 2.047 2.454 3.538 1.934 2.310 3.312 2.077 2.501 3.639
nirp_bassano_a0968 14.766 20.501 34.780 20.765 29.365 52.322 8.262 10.765 16.795 5.507 7.071 10.734 6.879 8.795 13.429 7.771 10.126 15.876 8.833 12.223 21.748 29.038 43.402 79.090 7.386 9.828 15.942 5.746 7.562 12.079 7.268 9.590 15.472 7.012 9.348 15.345 4.675 5.746 8.415 14.683 17.739 25.198 3.197 3.891 5.654 2.654 3.207 4.625 2.830 3.433 4.979 2.926 3.561 5.199
nirp_bassano_a9071 14.809 20.125 33.337 17.330 24.033 40.164 7.620 10.044 16.186 4.864 6.257 9.612 6.066 7.832 12.308 7.578 9.941 15.856 8.147 11.177 19.280 21.316 29.242 44.950 6.684 9.005 15.132 5.300 7.089 11.769 6.885 9.426 16.346 6.798 9.108 15.192 4.599 5.661 8.274 19.002 22.931 31.998 2.731 3.316 4.820 2.134 2.555 3.667 2.169 2.604 3.761 2.750 3.337 4.859
nirp_bassano_b-m-812 14.030 18.927 30.722 10.119 13.924 24.017 8.617 11.644 19.597 4.153 5.361 8.218 4.689 6.059 9.367 8.016 10.673 17.583 10.897 15.250 27.574 11.677 16.251 28.056 9.564 13.573 24.308 4.663 6.226 10.321 5.241 7.058 11.940 8.682 12.196 21.447 4.570 5.599 8.137 4.926 6.039 8.775 3.455 4.194 6.081 2.062 2.462 3.526 2.008 2.403 3.450 3.032 3.677 5.355
nirp_bassano_brm_bifa_78_1 10.674 14.249 23.438 6.521 8.512 13.536 7.014 9.081 14.258 4.495 5.797 8.966 5.180 6.682 10.340 6.774 8.739 13.598 10.184 14.308 26.037 7.276 9.413 14.524 6.188 8.237 13.544 4.959 6.622 10.927 5.733 7.738 13.078 6.455 8.596 14.260 3.091 3.778 5.545 4.650 5.667 8.215 2.407 2.923 4.270 2.144 2.572 3.709 2.161 2.594 3.738 2.351 2.853 4.174
nirp_bassano_eastg_1675 15.042 20.271 32.617 8.187 10.921 17.940 10.432 14.067 23.781 3.219 4.111 6.300 3.552 4.551 6.966 9.569 12.785 21.185 14.864 20.854 35.468 8.773 11.636 18.854 11.419 15.624 26.309 3.579 4.653 7.468 3.929 5.161 8.412 10.727 14.622 24.272 6.890 8.333 11.982 4.120 5.019 7.248 5.752 6.956 9.933 2.014 2.407 3.440 2.004 2.394 3.417 5.284 6.398 9.205
nirp_bassano_hhtp_2001_2_43 10.135 13.218 21.055 28.303 42.633 88.754 14.747 20.089 34.007 69.106 84.068 118.140 43.639 55.152 80.823 10.652 13.834 21.944 8.919 12.267 21.714 6.811 9.096 15.338 10.520 14.664 26.845 42.776 53.341 74.188 33.180 42.197 63.868 7.880 10.507 17.680 2.678 3.259 4.776 47.583 56.867 76.267 4.940 6.058 8.846 29.162 34.539 46.802 15.599 18.687 26.318 2.814 3.427 5.027
nirp_bassano_l_f34_1939_0_0 11.306 15.984 28.698 18.541 27.955 55.635 8.573 11.592 19.840 4.184 5.410 8.326 5.167 6.704 10.516 7.524 9.955 16.616 9.130 13.031 24.944 26.213 40.957 86.936 8.869 12.467 22.655 4.416 5.872 9.532 5.483 7.360 12.353 7.742 10.815 19.541 4.260 5.196 7.573 10.895 13.171 18.661 3.160 3.838 5.574 2.083 2.501 3.594 2.177 2.617 3.778 2.478 3.002 4.379
nirp_bassano_souag_b64 12.414 17.451 31.251 35.130 56.698 109.266 11.776 16.883 31.650 9.401 12.639 20.950 11.613 15.678 27.129 9.341 12.961 23.801 11.675 17.045 34.236 10.415 15.200 29.784 13.295 20.265 41.300 10.517 14.530 25.188 13.518 19.347 34.905 10.142 14.844 29.959 4.219 5.148 7.480 43.808 51.687 68.944 4.904 5.997 8.697 4.012 4.823 6.913 4.361 5.260 7.550 3.147 3.827 5.563
nirp_bassano_va_pc_2006bh7729 15.748 22.391 39.522 17.847 25.265 44.830 12.209 17.182 30.795 5.388 6.955 10.719 6.254 8.078 12.630 10.449 14.390 25.398 11.271 16.219 30.849 15.077 21.795 40.408 15.619 23.306 44.643 5.853 7.796 12.801 6.912 9.352 15.920 13.287 19.473 37.177 6.684 8.164 11.900 7.034 8.594 12.338 5.134 6.263 9.044 2.455 2.940 4.220 2.516 3.018 4.334 4.178 5.099 7.421
nirp_bassano_va_pc_2007bm3158 12.188 16.778 28.676 23.323 35.190 71.977 8.306 11.478 20.396 4.945 6.488 10.365 5.766 7.595 12.346 7.576 10.312 17.869 14.628 21.932 43.565 34.580 56.869 112.987 9.103 13.064 24.635 5.655 7.772 13.409 6.775 9.428 16.959 8.212 11.593 21.442 4.467 5.457 7.940 18.022 21.803 30.754 2.833 3.451 5.033 2.135 2.555 3.657 2.149 2.571 3.672 2.415 2.935 4.285
nirp_bassano_va_pc_2007bp0700 8.744 12.110 21.217 21.566 32.825 66.897 6.888 9.362 15.839 4.416 5.838 9.439 5.395 7.154 11.749 6.030 8.054 13.334 8.476 12.014 22.889 30.801 48.717 96.152 7.645 10.717 19.241 4.949 6.678 11.162 6.027 8.214 13.947 6.829 9.439 16.756 2.665 3.248 4.762 15.628 18.851 26.589 2.570 3.107 4.502 2.215 2.659 3.816 2.392 2.875 4.134 2.122 2.553 3.700
nirp_bassano_wm_1544_1948 19.070 26.072 42.826 6.517 8.368 12.945 9.207 12.623 21.615 6.395 8.500 13.850 8.508 11.493 19.346 8.838 12.058 20.405 9.057 12.415 21.340 7.029 8.946 13.354 9.359 13.197 23.933 7.684 10.681 18.918 10.517 15.124 28.061 9.032 12.701 22.809 8.263 10.091 14.512 5.120 6.279 9.061 3.431 4.165 6.036 2.643 3.192 4.617 3.190 3.870 5.601 3.235 3.931 5.709
nirp_berchem_1266 17.861 25.791 47.045 7.255 9.734 16.134 9.426 13.005 22.520 5.589 7.305 11.637 7.435 9.838 15.823 9.119 12.456 21.121 10.046 14.343 26.903 8.283 11.295 19.036 10.502 14.987 27.658 6.605 8.999 15.222 9.224 12.825 22.397 10.014 14.173 25.867 6.902 8.426 12.269 3.437 4.187 6.106 3.549 4.319 6.290 2.617 3.152 4.546 3.632 4.359 6.248 3.359 4.081 5.955
nirp_berchem_1923-16 20.026 28.332 49.320 8.318 10.765 16.666 14.297 21.046 40.471 5.234 6.782 10.696 6.978 9.217 14.858 13.329 18.889 34.468 9.666 13.503 24.710 9.328 11.878 17.496 10.843 15.796 31.254 5.944 8.080 13.603 8.188 11.250 18.885 11.638 16.865 32.585 9.574 11.754 17.060 7.252 8.789 12.583 7.734 9.426 13.636 2.421 2.903 4.171 3.496 4.187 5.951 5.461 6.715 9.772
nirp_berchem_1932p117 11.713 16.117 27.875 19.119 28.213 53.892 10.081 13.799 24.377 5.154 6.634 10.185 6.151 7.980 12.526 9.298 12.486 21.535 9.073 12.777 23.674 22.891 34.488 64.416 10.241 14.865 28.814 5.510 7.397 12.367 6.770 9.249 16.123 9.396 13.399 25.629 3.648 4.455 6.514 12.598 15.233 21.682 3.592 4.370 6.373 2.191 2.621 3.748 2.245 2.690 3.870 2.718 3.311 4.846
nirp_berchem_1974_433 15.771 22.188 38.785 9.548 12.930 21.826 10.490 14.331 25.262 5.166 6.610 10.247 5.869 7.531 11.653 9.976 13.506 23.133 13.058 18.475 34.292 11.228 15.346 25.667 12.516 17.716 32.056 6.044 8.070 13.362 6.860 9.241 15.494 11.820 16.650 30.405 5.447 6.685 9.740 4.732 5.740 8.265 3.991 4.845 7.037 2.836 3.393 4.838 2.848 3.405 4.852 3.464 4.208 6.116
nirp_berchem_1985_645 12.213 16.800 28.644 8.055 10.434 16.057 11.738 15.927 26.234 8.949 11.663 18.301 9.660 12.939 21.612 11.086 14.487 22.801 8.257 11.390 20.284 8.232 10.499 15.537 10.320 14.230 24.272 8.896 11.892 19.485 10.191 14.243 24.887 10.405 14.033 23.419 4.061 4.975 7.308 7.130 8.718 12.617 4.770 5.802 8.373 3.983 4.788 6.866 3.725 4.506 6.515 4.190 5.094 7.371
nirp_berchem_210_1892 19.976 28.226 49.398 26.869 38.097 68.658 11.563 15.584 26.738 6.939 8.961 13.978 8.087 10.574 16.949 11.106 14.826 25.164 9.747 13.825 25.934 33.161 49.244 87.102 9.634 13.736 26.404 7.771 10.579 18.167 9.491 13.251 23.693 9.784 13.907 26.850 9.770 11.997 17.288 14.062 16.979 23.950 3.408 4.153 6.060 2.489 3.002 4.348 2.843 3.441 4.976 3.242 3.948 5.756
nirp_berchem_566 14.549 19.951 33.480 8.691 11.763 19.667 12.131 16.566 28.696 4.784 6.134 9.295 5.239 6.744 10.276 11.207 14.975 25.058 8.001 10.922 18.890 9.565 12.930 21.193 11.241 16.232 31.074 5.299 7.072 11.817 5.942 8.065 13.781 10.687 15.135 27.768 4.390 5.383 7.899 4.571 5.589 8.144 4.083 4.991 7.303 1.960 2.340 3.356 2.025 2.421 3.471 3.370 4.116 6.050
nirp_berchem_a1085 21.238 29.354 48.625 10.629 14.296 23.463 12.527 17.107 28.771 5.606 7.219 11.123 6.801 8.799 13.613 12.060 16.185 26.540 12.059 17.127 31.181 12.292 16.414 25.879 11.293 15.731 28.064 6.322 8.437 14.011 7.948 10.723 17.803 10.952 15.038 26.395 7.456 9.143 13.314 6.539 8.017 11.635 4.516 5.501 7.978 2.639 3.161 4.533 3.241 3.885 5.556 4.259 5.192 7.567
nirp_berchem_a1907 17.771 25.014 43.342 12.762 17.204 28.617 14.240 20.789 38.910 5.950 7.668 11.879 7.368 9.692 15.604 13.371 18.859 33.424 10.336 14.631 27.430 15.250 20.457 31.617 14.028 21.340 43.311 6.559 8.752 14.426 8.574 11.845 20.547 13.996 20.696 40.708 8.005 9.793 14.284 10.644 12.883 18.328 6.566 8.062 11.722 2.544 3.059 4.398 3.088 3.715 5.351 5.127 6.316 9.202
nirp_berchem_a1908 7.344 9.899 16.883 32.244 47.121 85.168 10.556 14.797 26.980 26.346 35.785 60.852 16.563 22.279 36.738 7.766 10.434 17.542 7.028 9.776 17.597 9.315 13.183 23.414 11.149 16.178 30.694 25.170 34.278 54.180 16.794 23.340 37.972 8.475 11.887 21.381 2.652 3.211 4.673 15.146 18.408 26.251 4.064 4.917 7.143 15.875 19.058 26.820 7.253 8.752 12.502 2.765 3.359 4.903
nirp_berchem_a1909 12.031 16.194 26.646 15.635 21.346 34.380 8.055 10.910 19.256 4.337 5.580 8.574 5.174 6.683 10.570 7.609 10.140 17.228 11.248 15.982 29.978 19.406 25.772 38.283 9.478 13.924 27.455 4.950 6.835 11.873 6.171 8.635 15.835 8.446 12.008 22.390 4.333 5.286 7.709 15.451 18.539 26.041 2.725 3.282 4.741 1.890 2.238 3.165 1.887 2.232 3.171 2.440 2.945 4.279
nirp_berchem_bolmg_1937_5 24.342 33.537 58.326 6.955 9.201 14.809 14.541 21.011 38.203 5.004 6.430 9.879 5.014 6.471 9.949 13.800 19.699 34.773 14.099 20.211 36.989 7.473 9.743 15.019 17.199 25.863 47.096 5.718 7.551 12.311 5.801 7.706 12.726 16.750 24.980 44.987 19.052 22.643 31.235 4.285 5.243 7.585 8.849 10.764 15.354 2.311 2.777 3.990 2.302 2.761 3.954 7.817 9.535 13.734
nirp_berchem_br10 19.575 27.505 48.329 21.205 29.797 51.517 16.418 23.154 41.321 8.492 11.105 17.377 10.346 13.695 22.130 14.634 20.384 35.405 9.486 13.395 24.925 28.066 39.664 66.026 11.386 16.402 30.473 9.490 12.722 20.665 11.893 16.466 28.314 11.130 15.890 28.923 8.957 10.974 15.900 12.488 15.110 21.413 7.400 8.992 12.949 4.253 5.121 7.350 4.484 5.425 7.807 5.996 7.321 10.593
nirp_berchem_eastg_1594 10.558 14.694 26.133 19.398 29.373 59.510 8.772 12.063 21.204 5.109 6.728 10.761 6.706 8.921 14.865 7.675 10.233 17.272 7.343 10.163 18.244 29.270 46.379 89.399 8.551 12.152 22.334 5.597 7.667 13.039 7.495 10.404 18.156 7.850 11.035 20.136 3.290 4.008 5.874 16.053 19.365 27.271 3.478 4.220 6.092 2.180 2.616 3.763 2.661 3.223 4.660 2.681 3.239 4.697
nirp_berchem_eu_702 9.251 12.505 21.029 3.942 5.083 8.031 8.310 11.095 19.183 3.919 5.047 7.590 4.525 5.809 8.778 7.485 9.853 16.372 6.556 8.971 15.845 4.407 5.729 8.906 9.556 13.945 28.345 4.226 5.610 9.108 4.920 6.593 10.925 8.456 12.042 23.434 2.279 2.747 3.993 2.156 2.596 3.755 2.292 2.750 3.972 1.963 2.341 3.349 2.075 2.475 3.537 2.145 2.564 3.682
nirp_berchem_eu_703 12.451 16.801 27.634 17.340 25.188 46.775 9.189 12.580 21.601 4.638 6.018 9.387 6.545 8.568 13.673 8.519 11.502 19.134 8.740 11.971 20.743 21.445 31.359 54.959 8.935 12.564 22.560 5.209 7.112 12.162 7.545 10.460 18.268 8.571 11.904 21.058 3.744 4.579 6.709 13.726 16.687 23.829 3.347 4.080 5.951 2.060 2.463 3.528 2.611 3.125 4.476 2.988 3.631 5.291
nirp_berchem_eu_734 27.826 44.046 95.441 16.486 24.683 46.003 9.298 13.065 23.186 4.540 5.871 9.254 6.489 8.518 13.707 9.060 12.666 22.402 6.626 9.256 16.573 20.104 29.865 53.443 10.740 15.368 28.002 5.230 7.025 11.845 7.404 10.055 16.895 10.519 15.059 27.697 49.702 59.370 79.228 10.978 13.264 18.807 4.312 5.237 7.576 2.423 2.900 4.150 3.906 4.673 6.640 4.124 5.003 7.253
