img artist school country
nirp_bassano_1910-56 bassano renaissance italy
nirp_bassano_1964_286 bassano renaissance italy
nirp_bassano_1977_36 bassano renaissance italy
nirp_bassano_3134 bassano renaissance italy
nirp_bassano_393 bassano renaissance italy
nirp_bassano_a0968 bassano renaissance italy
nirp_bassano_a9071 bassano renaissance italy
nirp_bassano_b-m-812 bassano renaissance italy
nirp_bassano_brm_bifa_78_1 bassano renaissance italy
nirp_bassano_eastg_1675 bassano renaissance italy
nirp_bassano_hhtp_2001_2_43 bassano renaissance italy
nirp_bassano_l_f34_1939_0_0 bassano renaissance italy
nirp_bassano_souag_b64 bassano renaissance italy
nirp_bassano_va_pc_2006bh7729 bassano renaissance italy
nirp_bassano_va_pc_2007bm3158 bassano renaissance italy
nirp_bassano_va_pc_2007bp0700 bassano renaissance italy
nirp_bassano_wm_1544_1948 bassano renaissance italy
nirp_berchem_1266 berchem baroque netherlands
nirp_berchem_1923-16 berchem baroque netherlands
nirp_berchem_1932p117 berchem baroque netherlands
nirp_berchem_1974_433 berchem baroque netherlands
nirp_berchem_1985_645 berchem baroque netherlands
nirp_berchem_210_1892 berchem baroque netherlands
nirp_berchem_566 berchem baroque netherlands
nirp_berchem_a1085 berchem baroque netherlands
nirp_berchem_a1907 berchem baroque netherlands
nirp_berchem_a1908 berchem baroque netherlands
nirp_berchem_a1909 berchem baroque netherlands
nirp_berchem_bolmg_1937_5 berchem baroque netherlands
nirp_berchem_br10 berchem baroque netherlands
nirp_berchem_eastg_1594 berchem baroque netherlands
nirp_berchem_eu_702 berchem baroque netherlands
nirp_berchem_eu_703 berchem baroque netherlands
nirp_berchem_eu_734 berchem baroque netherlands
nirp_berchem_hasmg_960_53 berchem baroque netherlands
nirp_berchem_k1090 berchem baroque netherlands
nirp_berchem_k2402 berchem baroque netherlands
nirp_berchem_leamg_a386_1953 berchem baroque netherlands
nirp_berchem_ncm_1953_104 berchem baroque netherlands
nirp_berchem_ntsb13 berchem baroque netherlands
nirp_berchem_nwhcm_1991_1_1_f berchem baroque netherlands
nirp_berchem_op31 berchem baroque netherlands
nirp_berchem_plymm_061 berchem baroque netherlands
nirp_berchem_rocdg_1230 berchem baroque netherlands
nirp_berchem_som_hm_a112 berchem baroque netherlands
nirp_berchem_som_hm_a291 berchem baroque netherlands
nirp_berchem_som_hm_a56 berchem baroque netherlands
nirp_berchem_som_hm_a7 berchem baroque netherlands
nirp_berchem_souag_b43 berchem baroque netherlands
nirp_berchem_twcms_b8413 berchem baroque netherlands
nirp_berchem_twcms_b8415 berchem baroque netherlands
nirp_berchem_twcms_b9989 berchem baroque netherlands
nirp_berchem_va_pc_2006bh7540 berchem baroque netherlands
nirp_berchem_va_pc_2006bh7542 berchem baroque netherlands
nirp_berchem_va_pc_2006bh7619 berchem baroque netherlands
nirp_berchem_va_pc_2006bh7747 berchem baroque netherlands
nirp_berchem_va_pc_2006bh7829 berchem baroque netherlands
nirp_berchem_va_pc_2006bh7869 berchem baroque netherlands
nirp_berchem_va_pc_2007bn5322 berchem baroque netherlands
nirp_berchem_va_pc_2007bn6050 berchem baroque netherlands
nirp_berchem_va_pc_2007bp0859 berchem baroque netherlands
nirp_berchem_va_pc_2007bp0898 berchem baroque netherlands
nirp_berchem_va_pc_2007bp1122 berchem baroque netherlands
nirp_berchem_va_pc_2007bp1342 berchem baroque netherlands
nirp_botticelli_70_70 botticelli renaissance italy
nirp_botticelli_brm_bifa_43_10 botticelli renaissance italy
nirp_botticelli_k1659 botticelli renaissance italy
nirp_botticelli_twcms_f6124 botticelli renaissance italy
nirp_botticelli_twcms_g1941 botticelli renaissance italy
nirp_botticelli_va_pc_2006aj4912 botticelli renaissance italy
