img r3-cs-avg r3-cs-std r3-h-avg r3-h-std r3-l-avg r3-l-std r3-shsl-avg r3-shsl-std r3-shsv-avg r3-shsv-std r3-v-avg r3-v-std
nirp_bassano_1910-56 46.641335 38.134403 42.582692 64.593118 55.753738 51.688754 142.811243 74.622968 163.830062 68.321546 79.056336 68.149427
nirp_bassano_1964_286 16.076473 15.755898 118.262067 48.283871 39.155889 52.950422 92.697414 53.790710 122.074400 54.853997 47.217974 56.100607
nirp_bassano_1977_36 45.235512 29.410750 27.814296 14.579217 48.935016 43.528746 163.287925 66.860788 186.422174 54.301565 71.524814 55.078791
nirp_bassano_3134 34.256348 25.584881 23.141873 21.776985 57.104923 34.697153 89.246077 56.525497 121.198736 59.415196 74.244910 42.417553
nirp_bassano_393 30.166472 26.130658 73.270865 77.070977 99.081337 66.700041 77.402769 75.801576 82.291827 64.046933 114.164469 71.395943
nirp_bassano_a0968 70.220643 22.286123 26.938101 8.183720 113.453395 68.458972 170.764032 76.832749 152.127554 77.438206 148.510096 69.059598
nirp_bassano_a9071 86.450442 28.433477 23.513217 5.030723 132.183835 62.850550 173.528304 63.330182 143.219069 54.711950 175.387816 68.544415
nirp_bassano_b-m-812 44.940546 36.000730 28.264316 23.898934 55.262875 54.264053 158.894868 84.579754 174.280012 80.922708 77.693758 61.381871
nirp_bassano_brm_bifa_78_1 54.352505 23.184790 24.162098 15.604694 95.823658 56.516729 117.671973 62.400134 135.996619 63.316257 123.006823 57.692248
nirp_bassano_eastg_1675 24.398836 36.130900 39.048159 41.634176 20.897350 30.146081 157.091517 72.781523 182.852882 59.230705 32.969814 46.621515
nirp_bassano_hhtp_2001_2_43 212.224077 50.613097 15.806193 7.649597 108.606983 26.971729 254.860514 2.318348 252.827106 9.356380 214.372435 51.393662
nirp_bassano_l_f34_1939_0_0 53.814715 30.944846 22.074384 7.079753 47.368829 47.552195 210.904354 58.512839 218.221982 51.704860 74.168498 59.026762
nirp_bassano_souag_b64 94.768451 30.919570 21.218084 8.337343 63.814515 44.255611 238.547878 37.238221 234.029570 51.071615 111.021383 45.743030
nirp_bassano_va_pc_2006bh7729 49.596347 49.738084 47.291769 13.604854 43.243236 48.183365 180.556962 57.045824 199.118873 42.040019 68.030716 71.353182
nirp_bassano_va_pc_2007bm3158 82.564280 32.869619 25.157756 5.387790 85.579058 51.616493 167.398204 48.897217 180.009131 41.449610 126.852517 62.586345
nirp_bassano_va_pc_2007bp0700 98.737458 38.721863 20.638594 8.137656 61.706370 35.070914 229.395789 44.979492 235.312109 36.672822 110.924077 51.201489
nirp_bassano_wm_1544_1948 39.341712 31.590038 100.842162 112.608742 129.687568 64.840509 87.076727 69.556669 84.431742 67.920227 149.383273 60.586196
nirp_berchem_1266 28.236752 17.718594 52.080123 58.880489 161.962229 65.456087 75.335142 57.838248 53.717068 44.609867 176.124405 64.422425
nirp_berchem_1923-16 80.528067 43.644318 22.692880 30.705057 104.268592 72.500496 186.748745 49.678606 173.423511 60.234812 144.523195 89.757855
nirp_berchem_1932p117 72.155333 38.221809 25.941258 4.427368 76.566438 64.738104 192.419853 48.627900 190.205628 54.679324 112.609999 76.029009
nirp_berchem_1974_433 29.128151 17.048730 100.297359 32.237809 66.772149 48.351212 87.055972 68.240410 114.156753 64.972578 81.341417 53.949735
